Date,Open,High,Low,Close
3/20/24,"5,181.69","5,226.19","5,171.55","5,224.62"
3/19/24,"5,139.09","5,180.31","5,131.59","5,178.51"
3/18/24,"5,154.77","5,175.60","5,145.47","5,149.42"
3/15/24,"5,123.31","5,136.86","5,104.35","5,117.09"
3/14/24,"5,175.14","5,176.85","5,123.30","5,150.48"
3/13/24,"5,173.49","5,179.14","5,151.88","5,165.31"
3/12/24,"5,134.30","5,179.87","5,114.48","5,175.27"
3/11/24,"5,111.96","5,124.66","5,091.14","5,117.94"
3/8/24,"5,164.46","5,189.26","5,117.50","5,123.69"
3/7/24,"5,132.38","5,165.62","5,128.21","5,157.36"
3/6/24,"5,108.03","5,127.97","5,092.22","5,104.76"
3/5/24,"5,110.52","5,114.54","5,056.82","5,078.65"
3/4/24,"5,130.99","5,149.67","5,127.18","5,130.95"
3/1/24,"5,098.51","5,140.33","5,094.16","5,137.08"
2/29/24,"5,085.36","5,104.99","5,061.89","5,096.27"
2/28/24,"5,067.20","5,077.37","5,058.35","5,069.76"
2/27/24,"5,074.60","5,080.69","5,057.29","5,078.18"
2/26/24,"5,093.00","5,097.66","5,068.91","5,069.53"
2/23/24,"5,100.92","5,111.06","5,081.46","5,088.80"
2/22/24,"5,038.83","5,094.39","5,038.83","5,087.03"
2/21/24,"4,963.03","4,983.21","4,946.00","4,981.80"
2/20/24,"4,989.32","4,993.71","4,955.02","4,975.51"
2/16/24,"5,031.13","5,038.70","4,999.52","5,005.57"
2/15/24,"5,003.14","5,032.72","4,999.44","5,029.73"
2/14/24,"4,976.44","5,002.52","4,956.45","5,000.62"
2/13/24,"4,967.94","4,971.30","4,920.31","4,953.17"
2/12/24,"5,026.83","5,048.39","5,016.83","5,021.84"
2/9/24,"5,004.17","5,030.06","5,000.34","5,026.61"
2/8/24,"4,995.16","5,000.40","4,987.09","4,997.91"
2/7/24,"4,973.05","4,999.89","4,969.05","4,995.06"
2/6/24,"4,950.16","4,957.77","4,934.88","4,954.23"
2/5/24,"4,957.19","4,957.19","4,918.09","4,942.81"
2/2/24,"4,916.06","4,975.29","4,907.99","4,958.61"
2/1/24,"4,861.11","4,906.97","4,853.52","4,906.19"
1/31/24,"4,899.19","4,906.75","4,845.15","4,845.65"
1/30/24,"4,925.89","4,931.09","4,916.27","4,924.97"
1/29/24,"4,892.95","4,929.31","4,887.40","4,927.93"
1/26/24,"4,888.91","4,906.69","4,881.47","4,890.97"
1/25/24,"4,886.66","4,898.15","4,869.34","4,894.16"
1/24/24,"4,888.56","4,903.68","4,865.94","4,868.55"
1/23/24,"4,856.80","4,866.48","4,844.37","4,864.60"
1/22/24,"4,853.42","4,868.41","4,844.05","4,850.43"
1/19/24,"4,796.28","4,842.07","4,785.87","4,839.81"
1/18/24,"4,760.10","4,785.79","4,740.57","4,780.94"
1/17/24,"4,739.13","4,744.23","4,714.82","4,739.21"
1/16/24,"4,772.35","4,782.34","4,747.12","4,765.98"
1/12/24,"4,791.18","4,802.40","4,768.98","4,783.83"
1/11/24,"4,792.13","4,798.50","4,739.58","4,780.24"
1/10/24,"4,759.94","4,790.80","4,756.20","4,783.45"
1/9/24,"4,741.93","4,765.47","4,730.35","4,756.50"
1/8/24,"4,703.70","4,764.54","4,699.82","4,763.54"
1/5/24,"4,690.57","4,721.49","4,682.11","4,697.24"
1/4/24,"4,697.42","4,726.78","4,687.53","4,688.68"
1/3/24,"4,725.07","4,729.29","4,699.71","4,704.81"
1/2/24,"4,745.20","4,754.33","4,722.67","4,742.83"
12/29/23,"4,782.88","4,788.43","4,751.99","4,769.83"
12/28/23,"4,786.44","4,793.30","4,780.98","4,783.35"
12/27/23,"4,773.45","4,785.39","4,768.90","4,781.58"
12/26/23,"4,758.86","4,784.72","4,758.45","4,774.75"
12/22/23,"4,753.92","4,772.94","4,736.77","4,754.63"
12/21/23,"4,724.29","4,748.71","4,708.35","4,746.75"
12/20/23,"4,764.73","4,778.01","4,697.82","4,698.35"
12/19/23,"4,743.72","4,768.69","4,743.72","4,768.37"
12/18/23,"4,725.58","4,749.52","4,725.58","4,740.56"
12/15/23,"4,714.23","4,725.53","4,704.69","4,719.19"
12/14/23,"4,721.04","4,738.57","4,694.34","4,719.55"
12/13/23,"4,646.20","4,709.69","4,643.23","4,707.09"
12/12/23,"4,618.30","4,643.93","4,608.09","4,643.70"
12/11/23,"4,593.39","4,623.71","4,593.39","4,622.44"
12/8/23,"4,576.20","4,609.23","4,574.06","4,604.37"
12/7/23,"4,568.84","4,590.92","4,565.22","4,585.59"
12/6/23,"4,586.23","4,590.74","4,546.50","4,549.34"
12/5/23,"4,557.25","4,578.56","4,551.68","4,567.18"
12/4/23,"4,564.37","4,572.37","4,546.72","4,569.78"
12/1/23,"4,559.43","4,599.39","4,554.71","4,594.63"
11/30/23,"4,554.87","4,569.89","4,537.24","4,567.80"
11/29/23,"4,571.84","4,587.64","4,547.15","4,550.58"
11/28/23,"4,545.55","4,568.14","4,540.51","4,554.89"
11/27/23,"4,554.86","4,560.52","4,546.32","4,550.43"
11/24/23,"4,555.84","4,560.31","4,552.80","4,559.34"
11/22/23,"4,553.04","4,568.43","4,545.05","4,556.62"
11/21/23,"4,538.77","4,542.14","4,525.51","4,538.19"
11/20/23,"4,511.70","4,557.11","4,510.36","4,547.38"
11/17/23,"4,509.55","4,520.12","4,499.66","4,514.02"
11/16/23,"4,497.08","4,511.99","4,487.83","4,508.24"
11/15/23,"4,505.30","4,521.17","4,495.31","4,502.88"
11/14/23,"4,458.97","4,508.67","4,458.97","4,495.70"
11/13/23,"4,406.66","4,421.76","4,393.82","4,411.55"
11/10/23,"4,364.15","4,418.03","4,353.34","4,415.24"
11/9/23,"4,391.41","4,393.40","4,343.94","4,347.35"
11/8/23,"4,384.37","4,391.20","4,359.76","4,382.78"
11/7/23,"4,366.21","4,386.26","4,355.41","4,378.38"
11/6/23,"4,364.27","4,372.21","4,347.53","4,365.98"
11/3/23,"4,334.23","4,373.62","4,334.23","4,358.34"
11/2/23,"4,268.26","4,319.72","4,268.26","4,317.78"
11/1/23,"4,201.27","4,245.64","4,197.74","4,237.86"
10/31/23,"4,171.33","4,195.55","4,153.12","4,193.80"
10/30/23,"4,139.39","4,177.47","4,132.94","4,166.82"
10/27/23,"4,152.93","4,156.70","4,103.78","4,117.37"
10/26/23,"4,175.99","4,183.60","4,127.90","4,137.23"
10/25/23,"4,232.42","4,232.42","4,181.42","4,186.77"
10/24/23,"4,235.79","4,259.38","4,219.43","4,247.68"
10/23/23,"4,210.40","4,255.84","4,189.22","4,217.04"
10/20/23,"4,273.85","4,276.56","4,223.03","4,224.16"
10/19/23,"4,321.36","4,339.54","4,269.69","4,278.00"
10/18/23,"4,357.35","4,364.20","4,303.84","4,314.60"
10/17/23,"4,345.23","4,393.57","4,337.54","4,373.20"
10/16/23,"4,342.37","4,383.33","4,342.37","4,373.63"
10/13/23,"4,360.49","4,377.10","4,311.97","4,327.78"
10/12/23,"4,380.94","4,385.85","4,325.43","4,349.61"
10/11/23,"4,366.59","4,378.64","4,345.34","4,376.95"
10/10/23,"4,339.75","4,385.46","4,339.64","4,358.24"
